"who" "xcor" "ycor"
"0" 0 10.1886808718015 8.785424497039
"1" 1 15.3743089585666 -3.68480498171055
"2" 2 -11.5418659611970 -14.0034729578323
"4" 3 -1.34191693622308 13.8937179186120
"5" 4 -12.2400584444880 15.3595652618317
"6" 5 -15.0352029730061 4.30987639016908
"7" 6 8.92126401005525 -3.97391244508566
"8" 7 14.7312239606681 4.91282376591926
"9" 8 -15.6572051169396 10.3959656826096
"10" 9 -10.0624735563024 -7.68621175537438
"11" 10 15.9174190023415 9.3182489770902
"12" 11 10.6037069717855 8.08865361268879
"13" 12 -2.79885334856794 0.111369348832973
"14" 13 -6.76435675532357 7.81118029649106
"15" 14 -2.18318284044674 -11.4525023846697
"16" 15 0.839011743920238 -13.8110985012774
"17" 16 -9.06925925084148 -13.4258851800851
"18" 17 10.4668429481693 -6.10428850716999
"19" 18 -4.58457310332688 3.50023429266558
"20" 19 5.89590251391662 -12.6279414358234
"21" 20 12.6075068184383 -2.15223399285037
"22" 21 4.48562865712453 11.0501046772139
"23" 22 8.79280305901291 12.6591009358425
"24" 23 3.51965404812208 7.00245975456409
"25" 24 1.03438303895780 -16.3828883903442
"26" 25 5.67290997450365 4.8701168897466
"27" 26 -5.29095469579034 -1.20544471124041
"28" 27 12.2890138489926 -8.29310104987447
"29" 28 -8.17218502033896 15.5019490616152
"30" 29 3.67775018207732 -4.71399964726321
