"who" "xcor" "ycor"
"1" 0 -4.46154739389067 -7.55316986495584
"2" 1 -1.68223470271842 3.98795659535945
"3" 2 3.32582964783921 5.27648632729156
"4" 3 -13.9621968364617 14.595870476479
"5" 4 -15.7958194877731 11.6274340234353
"6" 5 2.76019867248497 10.7610575477907
"7" 6 -6.87374728985754 -15.0634327580399
"8" 7 4.62508810213142 10.9399366638703
"9" 8 -8.82778344047926 1.05324567820421
"10" 9 7.45315103228976 13.1866538646534
"11" 10 -4.75559149517131 -8.13377170516444
"12" 11 -3.12321125395778 15.2096811773569
"13" 12 -13.1361788910292 0.341477146789821
"14" 13 6.2758615376865 10.4325251348249
"15" 14 11.0203778404683 -8.36846532069189
"16" 15 5.87253718799026 9.11744272336907
"17" 16 10.6596469068631 15.4004857174655
"18" 17 -15.5145021481739 4.23942201620574
"19" 18 -1.87189365507162 -7.30635175508968
"20" 19 11.8110357082615 -1.66753031630494
"21" 20 -14.2638209556287 -4.53220845499935
"22" 21 7.78090813957736 -10.6278312249119
"23" 22 -7.4582264020333 -4.80037172935982
"24" 23 -12.762732025014 12.3588163139888
"25" 24 2.68279523936851 12.892812104008
"26" 25 0.0898466056361436 -15.9276162143358
"27" 26 15.9230753761259 2.31724656029963
"28" 27 14.8878212179073 4.52432416262529
"29" 28 -2.60887090534246 -7.83211554206387
"30" 29 -6.9349559581957 9.56032202769035
